
70327;Stuttgart
70329;Stuttgart
70188;Stuttgart
70186;Stuttgart
70372;Stuttgart
70734;Fellbach
70190;Stuttgart
70374;Stuttgart
73733;Esslingen
70182;Stuttgart
70184;Stuttgart
70619;Stuttgart
70173;Stuttgart
70191;Stuttgart
70376;Stuttgart
70174;Stuttgart
70180;Stuttgart
70178;Stuttgart
73732;Esslingen
70176;Stuttgart
73728;Esslingen
70192;Stuttgart
71394;Kernen
70736;Fellbach
73760;Ostfildern
70597;Stuttgart
71332;Waiblingen
70378;Stuttgart
70193;Stuttgart
70599;Stuttgart
70437;Stuttgart
70199;Stuttgart
73734;Esslingen
70469;Stuttgart
70435;Stuttgart
70195;Stuttgart
70567;Stuttgart
73730;Esslingen
71334;Waiblingen
70439;Stuttgart
73773;Aichwald
70197;Stuttgart
70629;Stuttgart/Leinfelden-Echterdingen
70499;Stuttgart
71384;Weinstadt
70806;Kornwestheim
73770;Denkendorf
71686;Remseck
73765;Neuhausen
73776;Altbach
70563;Stuttgart
71336;Waiblingen
70565;Stuttgart
70569;Stuttgart
71638;Ludwigsburg
71404;Korb
73779;Deizisau
73257;Köngen
70771;Leinfelden-Echterdingen
71640;Ludwigsburg
70825;Korntal-Münchingen
70794;Filderstadt
71409;Schwaikheim
71636;Ludwigsburg
70839;Gerlingen
71696;Möglingen
73207;Plochingen
72649;Wolfschlugen
71642;Ludwigsburg
73666;Baltmannsweiler
73630;Remshalden
72669;Unterensingen
71672;Marbach
71634;Ludwigsburg
71144;Steinenbronn
71701;Schwieberdingen
71065;Sindelfingen
71069;Sindelfingen
71679;Asperg
73249;Wernau
73240;Wendlingen
73650;Winterbach
71364;Winnenden
72631;Aichtal
71563;Affalterbach
71063;Sindelfingen
71397;Leutenbach
72644;Oberboihingen
71254;Ditzingen
71691;Freiberg
73262;Reichenbach
71729;Erdmannhausen
71032;Böblingen
71229;Leonberg
71726;Benningen
73669;Lichtenwald
74321;Bietigheim-Bissingen
71732;Tamm
71111;Waldenbuch
72666;Neckartailfingen
73269;Hochdorf
71101;Schönaich
72667;Schlaitdorf
71282;Hemmingen
71067;Sindelfingen
71106;Magstadt
72622;Nürtingen
73274;Notzingen
71737;Kirchberg
72657;Altenriet
73614;Schorndorf
71706;Markgröningen
73230;Kirchheim
72141;Walddorfhäslach
73061;Ebersbach
71093;Weil
72135;Dettenhausen
71088;Holzgerlingen
71034;Böblingen
71272;Renningen
73278;Schlierbach
71277;Rutesheim
71739;Oberriexingen
72124;Pliezhausen
71287;Weissach
71735;Eberdingen
71155;Altdorf
71139;Ehningen
71157;Hildrizhausen
72074;Tübingen
71665;Vaihingen
72076;Tübingen
71116;Gärtringen
71154;Nufringen
72070;Tübingen
72119;Ammerbuch
71083;Herrenberg
72108;Rottenburg
72072;Tübingen
71126;Gäufelden
71149;Bondorf
72149;Neustetten
